
294280;01-FEB-23;;NOK;  ;10010643;QUOTAS;3139710;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
197843,62;01-FEB-23;;DKK;  ;10009156;LYNGSOE SYSTEM A/S;3139655;1712;Posten Norge AS;60030413728;EFT;Nordea Internal;193200;000000
197843,62;01-FEB-23;;DKK;  ;10009156;LYNGSOE SYSTEM A/S;3139655;1712;Posten Norge AS;60030413728;EFT;Nordea Internal;193200;000000
8961,56;01-FEB-23;000000028642908;DKK;  ;12001079;BRAMIDAN A/S;3139658;1712;Posten Norge AS;60030413728;EFT;Nordea Internal;193200;000000
153,77;01-FEB-23;;USD;  ;10014233;AMAZON WEB SERVICES EMEA SARL;3139660;1712;Posten Norge AS;60130443845;EFT;Nordea Internal;193600;000000
35416,67;01-FEB-23;;EUR;  ;10013545;MAPSPEOPLE A/S;3141596;1712;Posten Norge AS;60260447680;EFT;Nordea Internal;193300;000000
35416,67;01-FEB-23;;EUR;  ;10013545;MAPSPEOPLE A/S;3141596;1712;Posten Norge AS;60260447680;EFT;Nordea Internal;193300;000000
35416,67;01-FEB-23;;EUR;  ;10013545;MAPSPEOPLE A/S;3141596;1712;Posten Norge AS;60260447680;EFT;Nordea Internal;193300;000000
41666,66;01-FEB-23;;EUR;  ;10013545;MAPSPEOPLE A/S;3141597;1712;Posten Norge AS;60260447680;EFT;Nordea Internal;193300;000000
200;01-FEB-23;879866;EUR;  ;10014070;365ID AB;3141600;1712;Posten Norge AS;60260447680;EFT;Nordea Internal;193300;000000
471392;01-FEB-23;188763;SEK;  ;10008700;CRM TREASURY SYSTEMS KB;3139653;1712;Posten Norge AS;60090435291;EFT;Nordea Internal;193100;000000
451;01-FEB-23;26509868274;NOK;  ;10007336;CASH ON DELIVERY;3139841;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
375;01-FEB-23;26509864414;NOK;  ;10007336;CASH ON DELIVERY;3139839;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
624;01-FEB-23;26509861550;NOK;  ;10007336;CASH ON DELIVERY;3139840;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
322;01-FEB-23;26509869819;NOK;  ;10007336;CASH ON DELIVERY;3140098;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
192473;01-FEB-23;;NOK;  ;10001041;POSTEN EIENDOM ALNABRU AS;3141473;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
6049;01-FEB-23;04482212;NOK;  ;10000004;UNIVERSAL PRESENTKORT AS;3141231;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
13500;01-FEB-23;;EUR;  ;10014949;GIRO INC;3141603;1712;Posten Norge AS;60260447680;EFT;Nordea Internal;193300;000000
489;01-FEB-23;26509855834;NOK;  ;10007336;CASH ON DELIVERY;3139843;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
1668;01-FEB-23;26509865791;NOK;  ;10007336;CASH ON DELIVERY;3140103;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
848,85;01-FEB-23;;NOK;  ;10000937;DUSTIN NORWAY AS;3141349;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
447;01-FEB-23;26509861956;NOK;  ;10007336;CASH ON DELIVERY;3140088;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
1248;01-FEB-23;26509809047;NOK;  ;10007336;CASH ON DELIVERY;3140097;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
1085;01-FEB-23;26509864794;NOK;  ;10007336;CASH ON DELIVERY;3139844;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
1049;01-FEB-23;26509871716;NOK;  ;10007336;CASH ON DELIVERY;3139845;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
370;01-FEB-23;26509864927;NOK;  ;10007336;CASH ON DELIVERY;3139853;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
488;01-FEB-23;26509846114;NOK;  ;10007336;CASH ON DELIVERY;3139848;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
411;01-FEB-23;26509786633;NOK;  ;10007336;CASH ON DELIVERY;3140345;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
489;01-FEB-23;26509857848;NOK;  ;10007336;CASH ON DELIVERY;3140348;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
1266,25;01-FEB-23;2080150042994550;NOK;  ;10007336;CASH ON DELIVERY;3140352;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
10875;01-FEB-23;0439350042986331;NOK;  ;10007336;CASH ON DELIVERY;3140353;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
1520;01-FEB-23;0176150042990987;NOK;  ;10007336;CASH ON DELIVERY;3140355;1712;Posten Norge AS;60050582992;EFT;Nordea Internal;192800;000000
